date,location,new_cases,new_deaths,total_cases,total_deaths,mortality,OlderPopulation,healthspend,percapitagdp,gini
30/7/2020,Macedonia,188,5,10504,476,4.5,0,0,0,0
30/7/2020,Madagascar,213,6,10317,99,1,2.930183799,85.48757935,1652.399139,0
30/7/2020,Senegal,156,2,9961,200,2,3.074519005,143.0919342,3430.162859,0
30/7/2020,Norway,18,0,9150,255,2.8,16.83497202,6518.873047,67640.18138,27.75
30/7/2020,Malaysia,13,0,8956,124,1.4,6.433952021,1138.964111,28207.70423,0
30/7/2020,Democratic Republic of Congo,58,5,8931,213,2.4,0,0,0,0
30/7/2020,Kosovo,194,4,7846,196,2.5,0,0,10868.7696,27.85
30/7/2020,Finland,10,0,7414,329,4.4,21.2787526,4255.223633,49549.39359,27.25
30/7/2020,Haiti,7,1,7378,159,2.2,4.835433458,146.1492615,1810.223657,0
30/7/2020,Gabon,163,0,7352,49,0.7,3.58461718,499.6129761,15102.53119,38
30/7/2020,Tajikistan,44,0,7320,60,0.8,2.982714035,231.423584,3313.517799,0
30/7/2020,Guinea,57,0,7183,46,0.6,2.906819538,89.17005158,2555.90759,0
30/7/2020,Luxembourg,158,1,6533,114,1.7,14.10670541,5956.483887,116786.48,33.95
30/7/2020,Mauritania,78,0,6249,156,2.5,3.130713567,170.149353,3802.873232,0
30/7/2020,Zambia,247,4,5249,146,2.8,2.084806931,180.2706604,3598.995728,0
30/7/2020,Albania,108,2,5105,150,2.9,13.3290733,0,13835.54831,33.45
30/7/2020,Djibouti,13,0,5081,58,1.1,4.456524157,117.1890793,5224.97785,41.6
30/7/2020,Croatia,0,1,4923,141,2.9,20.02239139,1772.481689,28115.46329,30.65
30/7/2020,Paraguay,192,1,4866,46,0.9,6.241010528,866.6269531,13204.30875,47.9
30/7/2020,Central African Republic,6,0,4605,59,1.3,2.831600277,41.98936844,955.8396384,0
30/7/2020,Hungary,19,0,4484,596,13.3,18.57786108,1979.40332,31578.7598,30.45
30/7/2020,Greece,57,0,4336,203,4.7,21.3993538,2295.328369,30357.61871,34.7
30/7/2020,Lebanon,182,1,4205,55,1.3,6.746236054,1185.327148,16416.89156,0
30/7/2020,Malawi,149,4,3858,107,2.8,2.649014193,114.8190002,1071.337621,44.7
30/7/2020,Nicaragua,0,0,3672,116,3.2,5.052291003,506.1549683,5833.600137,0
30/7/2020,Maldives,61,0,3567,15,0.4,3.778389289,1506.938477,18959.373,31.3
30/7/2020,Thailand,6,0,3304,58,1.8,11.43696392,670.8770752,18481.8813,36.5
30/7/2020,Somalia,16,0,3212,93,2.9,2.853683542,0,0,0
30/7/2020,Congo,0,0,3200,54,1.7,0,0,0,0
30/7/2020,Equatorial Guinea,0,0,3071,51,1.7,2.483752007,758.9349365,20855.80092,0
30/7/2020,Libya,190,3,3017,67,2.2,4.329174115,0,14423.34319,0
30/7/2020,Montenegro,67,2,3016,47,1.6,14.54770278,0,21301.48681,0
30/7/2020,Zimbabwe,62,1,2879,41,1.4,2.896191119,201.0454559,3360.681987,44.3
30/7/2020,Sri Lanka,1,0,2811,11,0.4,10.12359315,503.5632629,13254.65643,39.8
30/7/2020,Cuba,33,0,2588,87,3.4,14.77807976,2485.810791,0,0
30/7/2020,Swaziland,147,1,2551,40,1.6,0,0,0,0
30/7/2020,Mali,1,0,2521,124,4.9,2.514915654,84.16295624,2344.294432,0
30/7/2020,Cape Verde,19,1,2373,23,1,0,0,0,0
